Rowid_,VALUE,COUNT,VALUE_1,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPID,GROUPMODEL,GROUPNAME,G,GROUPVEG,R,B,RED,GREEN,BLUE
,440,2886054,440,11390,10,1011390,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,236,236,Rough Fescue-Bluebunch Wheatgrass-2,205,Grassland,171,102,0.670580000000000,0.803920000000000,0.400000000000000
,441,594564,441,11400,10,1011400,Northern Rocky Mountain Subalpine-Upper Montane Grassland,238,238,Green Needlegrass-Idaho Fescue-4,205,Grassland,167,195,0.654900000000000,0.803920000000000,0.764700000000000
,442,815,442,11420,10,1011420,Columbia Basin Palouse Prairie,240,240,Bluebunch Wheatgrass-Idaho Fescue-1,220,Grassland,220,0,0.862740000000000,0.862740000000000,0.000000000000000
,443,20396,443,11450,10,1011450,Rocky Mountain Subalpine-Montane Mesic Meadow,243,243,Fleabane-Lupine-4,197,Grassland,0,255,0.000000000000000,0.772540000000000,1.000000000000000
,444,18466,444,11530,10,1011530,Inter-Mountain Basins Greasewood Flat,250,250,Greasewood-Shadscale-5,225,Shrubland,225,225,0.882350000000000,0.882350000000000,0.882350000000000
,445,1061937,445,11540,10,1011540,Inter-Mountain Basins Montane Riparian Systems,259,259,Black Cottonwood-Narrowleaf Willow-3,156,Riparian,154,117,0.603920000000000,0.611760000000000,0.458820000000000
,446,8293656,446,11590,10,1011590,Rocky Mountain Montane Riparian Systems,259,259,Black Cottonwood-Narrowleaf Willow-3,124,Riparian,123,93,0.482350000000000,0.486270000000000,0.364700000000000
,447,1168083,447,11600,10,1011600,Rocky Mountain Subalpine/Upper Montane Riparian Systems,259,259,Black Cottonwood-Narrowleaf Willow-3,165,Riparian,49,167,0.192150000000000,0.647050000000000,0.654900000000000
,448,897930,448,11610,10,1011610,Northern Rocky Mountain Conifer Swamp,260,260,Engelmann Spruce-Ladyfern-5,79,Conifer,68,137,0.266660000000000,0.309800000000000,0.537250000000000
,449,6180837,449,11660,10,1011660,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,265,265,Douglas Fir-Ninebark-3,112,Conifer,214,0,0.839210000000000,0.439210000000000,0.000000000000000
,450,247118,450,11670,10,1011670,Rocky Mountain Poor-Site Lodgepole Pine Forest,267,267,Lodgepole Pine-Kinnikinnick-5,255,Conifer,85,0,0.333330000000000,1.000000000000000,0.000000000000000
,451,137442,451,10010,19,1910010,Inter-Mountain Basins Sparsely Vegetated Systems,100,100,Sparsely Vegetated,255,Sparse,255,190,1.000000000000000,1.000000000000000,0.745090000000000
,452,712274,452,10060,19,1910060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,100,100,Sparsely Vegetated,78,Sparse,78,78,0.305880000000000,0.305880000000000,0.305880000000000
,453,12348,453,10090,19,1910090,Northwestern Great Plains Aspen Forest and Parkland,101,101,Quaking Aspen-Paper Birch-4,202,Hardwood,11,170,0.043130000000000,0.792150000000000,0.666660000000000
,454,232544,454,10110,19,1910110,Rocky Mountain Aspen Forest and Woodland,102,102,Quaking Aspen-4,255,Hardwood,255,115,1.000000000000000,1.000000000000000,0.450980000000000
,456,10449199,456,10451,19,1910451,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,135,135,Ponderosa Pine-Douglas Fir-1,209,Conifer,200,255,0.784310000000000,0.819600000000000,1.000000000000000
,457,2499550,457,10452,19,1910452,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,136,136,Western Larch-Douglas Fir-3,36,Conifer,150,181,0.588230000000000,0.141170000000000,0.709800000000000
,458,330787,458,10453,19,1910453,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,137,137,Grand Fir-Douglas Fir-Beargrass-3,5,Conifer,230,8,0.901960000000000,0.019600000000000,0.031370000000000
,459,9687131,459,10460,19,1910460,Northern Rocky Mountain Subalpine Woodland and Parkland,139,139,Whitebark Pine-3,170,Conifer,255,0,1.000000000000000,0.666660000000000,0.000000000000000
,460,503635,460,10471,19,1910471,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,141,141,Grand Fir-Douglas Fir-Western Red Cedar-3,147,Conifer,95,229,0.372540000000000,0.576470000000000,0.898030000000000
,461,22732,461,10472,19,1910472,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,142,142,Western Red Cedar-5,144,Conifer,18,84,0.070580000000000,0.564700000000000,0.329410000000000
,462,227938,462,10490,19,1910490,Rocky Mountain Foothill Limber Pine-Juniper Woodland,144,144,Limber Pine-Rocky Mountain Juniper-3,205,Conifer,102,171,0.400000000000000,0.803920000000000,0.670580000000000
,463,2374147,463,10530,19,1910530,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,150,150,Ponderosa Pine-1,85,Conifer,168,0,0.658820000000000,0.333330000000000,0.000000000000000
,464,9255773,464,10550,19,1910550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,153,153,Engelmann Spruce-Subalpine Fir-4,255,Conifer,211,190,0.827450000000000,1.000000000000000,0.745090000000000
,465,11780409,465,10560,19,1910560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,155,155,Engelmann Spruce-Subalpine Fir-Menziesia-4,168,Conifer,56,0,0.219600000000000,0.658820000000000,0.000000000000000
,466,501754,466,10620,19,1910620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,164,164,Curlleaf Mountain Mahogany-Mountain Big Sagebrush-3,19,Shrubland,191,230,0.749020000000000,0.074510000000000,0.901960000000000
,467,169050,467,10700,19,1910700,Rocky Mountain Alpine Dwarf-Shrubland,170,170,Heather Moss-Arctic Willow-5,118,Shrubland,19,92,0.074510000000000,0.462740000000000,0.360780000000000
,468,1697205,468,10800,19,1910800,Inter-Mountain Basins Big Sagebrush Shrubland,182,182,Wyoming Big Sage-Rubber Rabbitbrush-4,190,Shrubland,255,232,1.000000000000000,0.745090000000000,0.909800000000000
,469,760748,469,10810,19,1910810,Inter-Mountain Basins Mixed Salt Desert Scrub,183,183,Shadscale-Winterfat-5,202,Shrubland,245,122,0.960780000000000,0.792150000000000,0.478430000000000
,470,1289416,470,11060,19,1911060,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,205,205,Serviceberry-Common Snowberry-Rocky Mountain Maple-4,68,Shrubland,137,80,0.537250000000000,0.266660000000000,0.313720000000000
,471,1725,471,11150,19,1911150,Inter-Mountain Basins Juniper Savanna,212,212,Western Juniper-Utah Juniper-3,112,Conifer,137,68,0.537250000000000,0.439210000000000,0.266660000000000
,472,1300775,472,11240,19,1911240,Columbia Plateau Low Sagebrush Steppe,219,219,Low Sage-Idaho Fescue-3,140,Shrubland,132,173,0.517640000000000,0.549020000000000,0.678430000000000
,473,16344270,473,11250,19,1911250,Inter-Mountain Basins Big Sagebrush Steppe,220,220,Wyoming Big Sage-Wheatgrass-3,115,Shrubland,255,223,1.000000000000000,0.450980000000000,0.874510000000000
,474,8280672,474,11260,19,1911260,Inter-Mountain Basins Montane Sagebrush Steppe,222,222,Mountain Sagebrush-Bluebunch Wheatgrass-Idaho Fescue-4,0,Shrubland,230,169,0.901960000000000,0.000000000000000,0.662740000000000
,475,12859742,475,11390,19,1911390,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,236,236,Rough Fescue-Bluebunch Wheatgrass-2,205,Grassland,171,102,0.670580000000000,0.803920000000000,0.400000000000000
,476,85205,476,11400,19,1911400,Northern Rocky Mountain Subalpine-Upper Montane Grassland,238,238,Green Needlegrass-Idaho Fescue-4,205,Grassland,167,195,0.654900000000000,0.803920000000000,0.764700000000000
,477,12404,477,11430,19,1911430,Rocky Mountain Alpine Fell-Field,241,241,Dwarf Clover-Dwarf Phlox-5,130,Grassland,130,130,0.509800000000000,0.509800000000000,0.509800000000000
,478,397322,478,11440,19,1911440,Rocky Mountain Alpine Turf,242,242,Spike Sedge-Cushion Phlox-5,43,Grassland,93,29,0.364700000000000,0.168620000000000,0.113720000000000
,479,1201482,479,11450,19,1911450,Rocky Mountain Subalpine-Montane Mesic Meadow,243,243,Fleabane-Lupine-4,197,Grassland,0,255,0.000000000000000,0.772540000000000,1.000000000000000
