US_140EVT,CLASSNAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS
3498,Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3499,Laurentian-Acadian Sparsely Vegetated Systems,Sps Laurentian-Acadian Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3501,Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,Tr Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,Tree,Riparian,Atlantic Swamp Forests,SAF 97: Atlantic White Cedar,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3502,Central Appalachian Dry Oak-Pine Forest,Tr Central Appalachian Dry Oak-Pine Forest,Tree,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3503,Chihuahuan Loamy Plains Desert Grassland,He Chihuahuan Loamy Plains Desert Grassland,Herb,Grassland,Grassland,SRM 701: Alkali Sacaton-Tobosa Grass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3504,Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,He Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,Herb,Riparian,Depressional Wetland,SRM 701: Alkali Sacaton-Tobosa Grass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3506,West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods,Tr West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods,Tree,Hardwood,Hardwood Flatwoods,SAF 88: Willow Oak-Water Oak-Diamondleaf Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3507,Ozark-Ouachita Shortleaf Pine-Bluestem Woodland,Tr Ozark-Ouachita Shortleaf Pine-Bluestem Woodland,Tree,Conifer,Shortleaf Pine Woodland,SAF 75: Shortleaf Pine,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3509,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Tr Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Tree,Hardwood,White Oak-Beech Forest and Woodland,SAF 53: White Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy
3510,Crowley's Ridge Sand Forest,Tr Crowley's Ridge Sand Forest,Tree,Conifer-Hardwood,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3511,Appalachian Northern Hardwood Forest,Tr Appalachian Northern Hardwood Forest,Tree,Hardwood,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3512,Appalachian Hemlock-Northern Hardwood Forest,Tr Appalachian Hemlock-Northern Hardwood Forest,Tree,Conifer-Hardwood,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3513,Lower Mississippi River Flatwoods,Tr Lower Mississippi River Flatwoods,Tree,Conifer,Pine Flatwoods,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Deciduous closed tree canopy
3517,Paleozoic Plateau Bluff and Talus Woodland,Tr Paleozoic Plateau Bluff and Talus,Tree,Hardwood,Black Oak Woodland and Savanna,SAF 110: Black Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3518,North-Central Interior Wet Flatwoods,Tr North-Central Interior Wet Flatwoods,Tree,Hardwood,Hardwood Flatwoods,SAF 65: Pin Oak-Sweetgum,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy
3519,East-Central Texas Plains Post Oak Savanna and Woodland,Tr East-Central Texas Plains Post Oak Savanna and Woodland,Tree,Hardwood,Post Oak Woodland and Savanna,SAF 40: Post Oak-Blackjack Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3522,Northern Atlantic Coastal Plain Heathland,Sh Northern Atlantic Coastal Plain Heathland,Shrub,Shrubland,Heathland and Grassland,LF 49: Atlantic Coastal Plain Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3523,Edwards Plateau Dry-Mesic Slope Forest and Woodland,Tr Edwards Plateau Dry-Mesic Slope Forest and Woodland,Tree,Conifer-Hardwood,Juniper-Oak,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3524,Edwards Plateau Mesic Canyon,Tr Edwards Plateau Mesic Canyon,Tree,Hardwood,Bigtooth Maple Woodland,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy
3525,Edwards Plateau Riparian Woodland,Tr Edwards Plateau Riparian,Tree,Riparian,Eastern Small Stream Riparian Forests,LF 42: Great Plains Riparian,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy
3526,Laurentian-Acadian Swamp Woodland,Tr Laurentian-Acadian Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous open tree canopy
3527,East Gulf Coastal Plain Interior Oak Forest,Tr East Gulf Coastal Plain Interior Oak Forest,Tree,Conifer-Hardwood,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3528,Ruderal Upland Shrubland,Tr Ruderal Upland Vegetation,Shrub,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3529,Ruderal Upland Herbaceous,Tr Ruderal Upland Vegetation,Herb,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3531,Ruderal Upland Forest,Tr Ruderal Upland Vegetation,Tree,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3532,Ruderal Forest-Northern and Central Hardwood and Conifer,Tr Ruderal Forest-Northern and Central Hardwood and Conifer,Tree,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3533,Ruderal Forest-Southeast Hardwood and Conifer,Tr Ruderal Forest-Southeast Hardwood and Conifer,Tree,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3534,Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,Tr Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,Tree,Conifer,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3535,Managed Tree Plantation-Southeast Conifer and Hardwood Plantation Group,Tr Managed Tree Plantation-Southeast Conifer and Hardwood Plantation Group,Tree,Conifer,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3536,Introduced Wetland Vegetation-Tree,Tr Introduced Wetland Vegetation-Tree,Tree,Riparian,Introduced Woody Wetland Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
