Rowid_,VALUE,COUNT,VALUE_1,CLASSNAME,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
,3055,48043744,3055.000000000000000,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,2055.000000000000000,Tr Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Tree,639.000000000000000,Conifer,Spruce-Fir Forest and Woodland,SAF 206: Engelmann Spruce-Subalpine Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,236.000000000000000,252.000000000000000,204.000000000000000,0.925490000000000,0.988235000000000,0.800000000000000
,3056,32386705,3056.000000000000000,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,2056.000000000000000,Tr Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Tree,639.000000000000000,Conifer,Spruce-Fir Forest and Woodland,SAF 206: Engelmann Spruce-Subalpine Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,236.000000000000000,252.000000000000000,204.000000000000000,0.925490000000000,0.988235000000000,0.800000000000000
,3057,495990,3057.000000000000000,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,2057.000000000000000,Tr Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Tree,621.000000000000000,Conifer,Limber Pine Woodland,SAF 209: Bristlecone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,63.000000000000000,255.000000000000000,46.000000000000000,0.247059000000000,1.000000000000000,0.180392000000000
,3058,1676752,3058.000000000000000,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,2058.000000000000000,Tr Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Tree,622.000000000000000,Conifer,Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,163.000000000000000,240.000000000000000,219.000000000000000,0.639216000000000,0.941176000000000,0.858824000000000
,3059,13941821,3059.000000000000000,Southern Rocky Mountain Pinyon-Juniper Woodland,2059.000000000000000,Tr Southern Rocky Mountain Pinyon-Juniper Woodland,Tree,630.000000000000000,Conifer,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,121.000000000000000,255.000000000000000,94.000000000000000,0.474510000000000,1.000000000000000,0.368627000000000
,3060,409721,3060.000000000000000,East Cascades Ponderosa Pine Forest and Woodland,2060.000000000000000,Tr East Cascades Ponderosa Pine Forest and Woodland,Tree,610.000000000000000,Conifer,Conifer-Oak Forest and Woodland,SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,214.000000000000000,255.000000000000000,181.000000000000000,0.839216000000000,1.000000000000000,0.709804000000000
,3061,22332843,3061.000000000000000,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,2061.000000000000000,Tr Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Tree,603.000000000000000,Conifer-Hardwood,Aspen-Mixed Conifer Forest and Woodland,SAF 217: Aspen,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,192.000000000000000,255.000000000000000,138.000000000000000,0.752941000000000,1.000000000000000,0.541176000000000
,3062,8204289,3062.000000000000000,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,2062.000000000000000,Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Tree,628.000000000000000,Conifer,Mountain Mahogany Woodland and Shrubland,SRM 415: Curlleaf Mountain-Mahogany,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,155.000000000000000,235.000000000000000,216.000000000000000,0.607843000000000,0.921569000000000,0.847059000000000
,3063,6930647,3063.000000000000000,North Pacific Broadleaf Landslide Forest and Shrubland,2063.000000000000000,Tr North Pacific Broadleaf Landslide Forest and Shrubland,Tree,632.000000000000000,Hardwood,Red Alder Forest and Woodland,SAF 221: Red Alder,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,146.000000000000000,232.000000000000000,215.000000000000000,0.572549000000000,0.909804000000000,0.843137000000000
,3064,6708657,3064.000000000000000,Colorado Plateau Mixed Low Sagebrush Shrubland,2064.000000000000000,Sh Colorado Plateau Mixed Low Sagebrush Shrubland,Shrub,623.000000000000000,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 405: Black Sagebrush,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,204.000000000000000,182.000000000000000,135.000000000000000,0.800000000000000,0.713725000000000,0.529412000000000
